EHTOKOODI;EHTO;EHTOR
E45;Vain sisätautien, lastentautien ja lastenneurologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i inre medicin, i barnsjukdomar och i barnneurologi.
E46;Vain sairaalakäyttöön. Syöpätautien ja sädehoidon tai naistentautien ja synnytysten erikoislääkäreiden aloittamaan ja valvomaan hoitoon.;Endast för sjukhusbruk. Vid påbörjad och övervakad vård av specialister i cancersjukdomar och radioterapi eller av specialister i kvinnosjukdomar och förlossningar.
E47;Vain neurologian, neurokirurgian, lastenneurologian ja silmätautien erikoislääkäreiden käyttöön.;Endast att användas av specialister i neurologi, neurokirurgi, barnneurologi och av specialister i ögonsjukdomar.
E48;Valmistetta saadaan toimittaa ainoastaan kalanviljelylaitoksia valvoville eläinlääkäreille tai heidän määräyksellään.;Preparatet får expedieras endast åt veterinärer som övervakar fiskodlingsanstalter eller mot recept utfärdade av dem.
E49;Vain lastenneurologien, neurologien ja neurokirurgien määräyksellä.;Endast mot recept utfärdade av specialister i barnneurologi, neurologi och neurokirurgi.
E4C;Vain kirurgisten tautien erikoislääkäreiden sekä röntgentutkimuksen ja -hoidon erikoislääkäreiden, joilla on kasvainten sädehoito-syöpätautien sädehoito, sädehoito suppeana erikoisalana, määräyksellä tai heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i kirurgi samt av specialister i röntgenundersökning och -behandling med strålbehandling av tumörer-strålbehandling av cancersjukdomar, strålbehandling som grenspecialitet - eller i av dem påbörjad eftervård.
E4D;Vain iho- ja sukupuolitautien erikoislääkäreiden tai sellaisten lääkäreiden määräyksellä, joilla on sädehoito erikoisalana tai suppeana erikoisalana.;Endast mot recept utfärdade av specialister i hud- och könssjukdomar eller utfärdade av sådana läkare, som har radiologi som specialområde eller som grenspecialitet.
E4E;Valmistetta saadaan toimittaa vain iho- ja sukupuolitautien erikoislääkäreiden määräyksellä.;Preparatet får expedieras endast mot recept utfärdade av specialister i hud- och könssjukdomar.
E5A;Valmistetta saadaan käyttää vain naistentautien ja synnytysten erikoislääkärin tai alan sairaalassa työskentelevän lääkärin valvonnan alaisena ja valmistetta saavat määrätä myös urologit.;Preparatet får användas endast under övervakning av specialister i kvinnosjukdomar och förlossningar eller sjukhusläkare på motsvarande område, även urologer får ordinera preparatet.
E1B;Vain sairaalakäyttöön erikoislääkärijohtoisilla osastoilla ja näissä aloitettuun jatkohoitoon.;Endast för sjukhusbruk vid specialistledda avdelningar och vid dem påbörjad eftervård.
E1C;Vain sairaaloiden sisätautiosastojen käyttöön sekä näiden valvomaan jatkohoitoon.;Preparatet får användas endast på sjukhusens inremedicinska avdelningar och i av dem övervakad eftervård.
E1D;Valmistetta saadaan käyttää vain synnytyssairaalassa ja siellä aloitettuun jatkohoitoon.;Preparatet får användas endast i förlossningssjukhus och vid dem påbörjad eftervård.
E2;Valmistetta saadaan käyttää vain sairaaloissa sekä näiden ja erikoislääkäreiden valvomassa jatkohoidossa.;Preparatet får användas endast i sjukhus och i av dem och av specialistläkare övervakad eftervård.
E2A;Valmistetta saadaan käyttää vain sairaaloissa ja sairaalassa aloitettuun jatkohoitoon.;Preparatet får användas endast i sjukhus och i sjukhus påbörjad eftervård.
E2B;Sairaalakäyttöön, anestesiologian erikoislääkäreiden käyttöön tai heidän valvonnassaan tapahtuvaan hoitoon.;För bruk i sjukhus och för specialister i anestesiologi eller i av dem övervakad vård.
E4;Valmistetta saadaan käyttää vain sädehoitoklinikoiden valvonnassa ja niissä aloitetussa jatkohoidossa.;Preparatet får användas endast under övervakning av strålbehandlingskliniker och i av dem påbörjad eftervård.
E106;Ritonaviiria saavat määrätä vain HIV-infektion hoitoon perehtyneet lääkärit.;Ritonavir bör förskrivas av läkare med erfarenhet av behandling av HIV-infektioner.
E1;Vain sairaalakäyttöön.;Endast för sjukhusbruk.
E4A;Vain sisätauti- ja sädehoitosairaaloiden valvonnassa ja niissä aloitetussa jatkohoidossa.;Endast under övervakning av inremedicinska- och strålbehandlingssjukhus och i av dem påbörjad eftervård.
E35;Vain endokrinologian erikoislääkärin määräyksellä.;Endast mot recept utfärdade av specialister i endokrinologi.
E36;Vain sisätautien erikoislääkäreiden ja lastenkardiologian erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i inre medicin samt av specialister i barnkardiologi och i av dem påbörjad eftervård.
E37;Vain urologian erikoislääkäreiden määräyksellä tai urologin aloittamaan jatkohoitoon.;Endast mot recept utfärdade av specialister i urologi eller av urolog påbörjad eftervård.
E38;Vain syöpätautien ja sädehoidon erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i cancersjukdomar och radioterapi.
E40;Vain keuhkosairauksien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i lungsjukdomar och i av dem påbörjad eftervård.
E41;Valmistetta saadaan käyttää vain sairaaloissa sekä niiden infektiotautien erikoislääkäreiden ja infektiotaudeista vastaavien erikoislääkäreiden valvomassa jatkohoidossa.;Preparatet får användas endast på sjukhus samt i eftervård övervakad av sjukhusens specialister i infektionssjukdomar och av specialister till vilkas ansvarsområde hör infektionssjukdomar.
E42;Valmistetta saadaan käyttää vain sisätautien, lastentautien, kirurgian, anestesiologian ja syöpätauteihin perehtyneiden erikoislääkäreiden määräyksellä.;Preparatet får användas endast mot recept utfärdade av specialister i inre medicin, i barnsjukdomar, i kirurgi, i anestesiologi samt av specialister orienterade i cancersjukdomar.
E26;Vain sisätautien erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i inre medicin.
E27;Vain sairaalakäyttöön infektiotautien erikoislääkäreiden aloittamaan ja valvomaan hoitoon.;Endast för sjukhusbruk vid påbörjad och övervakad vård av specialister i infektionssjukdomar.
E28;Vain lastenendokrinologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i barnendokrinologi.
E30;Vain syöpätautien ja kliinisen hematologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i cancersjukdomar och av specialister i klinisk hematologi.
E32;Valmistetta saadaan käyttää vain sairaaloissa sekä niiden infektiotautien erikoislääkäreiden ja infektiotaudeista vastaavien erikoislääkäreiden valvomassa jatkohoidossa.;Preparatet får användas endast på sjukhus samt i eftervård övervakad av sjukhusens specialister i infektionssjukdomar och av ansvariga specialister inom området för infektionssjukdomar.
E33;Valmistetta saadaan käyttää vain sairaaloissa sekä sisätautien ja lastentautien erikoislääkäreiden määräyksellä.;Preparatet får användas endast på sjukhus samt mot recept utfärdade av specialister i inre medicin samt av specialister i barnsjukdomar.
E34;Vain lastenendokrinologian ja/tai endokrinologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i barnendokrinologi och/eller specialister i endokrinologi.
E14;Valmistetta saadaan toimittaa vain lääkärin erillisellä alkuperäisellä reseptillä sairaalassa aloitettuun jatkohoitoon.;Preparatet får expedieras endast mot skilt originalrecept för i sjukhus påbörjad eftervård.
E16;Vain silmätautien erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i ögonsjukdomar.
E18;Vain sisätautien ja kirurgian erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i inre medicin och kirurgi och i av dem påbörjad eftervård.
E20;Vain kirurgian sekä lastentautien erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i kirurgi samt av specialister i barnsjukdomar.
E22;Valmistetta saadaan toimittaa Crohnin taudin hoitoon ja yleensä pitkäaikaiskäyttöön vain sisätautien, kirurgian sekä lastentautien erikoislääkäreiden määräyksellä.;Preparatet får expedieras för behandling av Crohns sjukdom och för långvarigt bruk i allmänhet endast mot recept utfärdade av specialister i inre medicin, kirurgi eller barnsjukdomar.
E23;Vain sairaalakäyttöön ja sairaalassa aloitettuun jatkohoitoon sekä psykiatrian erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon sekä käytettäväksi mielenterveystoimistoissa sekä näiden valvomassa avohoidossa.;Endast för sjukhusbruk och i sjukhus påbörjad eftervård samt mot recept utfärdade av specialister i psykiatri och i av dem påbörjad eftervård samt för användning i mentalvårdsbyråer samt i av dem övervakad öppenvård.
E5D;Valmistetta saadaan käyttää tokolyyttisellä indikaatiolla vain synnytyssairaalassa ja siellä aloitettuun jatkohoitoon.;Preparatet får användas vid tokolytisk indikation endast i förlossningssjukhus och i av dem påbörjad eftervård.
E5E;Tokolyyttisellä indikaatiolla vain sairaalakäyttöön.;Vid tokolytisk indikation endast för sjukhusbruk.
E8;Vain pro auctore-reseptillä.;Endast mot pro auctore-recept.
E9;Vain psykiatrian erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon sekä käytettäväksi mielisairaaloissa ja mielenterveystoimistoissa sekä näiden valvomassa avohoidossa.;Endast mot recept utfärdade av specialister i psykiatri och i av dem påbörjad eftervård samt för användning i mentalsjukhus och mentalvårdsbyråer samt i av dem övervakad öppenvård.
E39;Vain naistentautien ja synnytysopin erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i kvinnosjukdomar och obstetrik.
E9A;Vain psykiatrian ja hermo- ja mielitautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon sekä käytettäväksi mielisairaaloissa ja mielenterveystoimistoissa sekä näiden valvomassa avohoidossa.;Endast mot recept utfärdade av specialister i psykiatri och nerv- och mentalsjukdomar och i av dem påbörjad eftervård och för användning i mentalsjukhus och mentalvårdsbyråer samt i av dem övervakad öppenvård.
E12;Vain silmätautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i ögonsjukdomar och i av dem påbörjad eftervård.
E21;Valmistetta saadaan käyttää indikaatiolla maanisen vaiheen hoito maanis-depressiivisessä sairaudessa vain psykiatrian erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon sekä psykiatrisissa sairaaloissa ja mielenterveystoimistoissa sekä näiden valvomassa avohoidossa.;Preparatet får användas vid indikation behandling av maniskt tillstånd i manisk-depressiv sjukdom endast mot recept utfärdade av specialister i psykiatri och i av dem påbörjad eftervård samt i psykiatriska sjukhus och mentalvårdsbyråer samt i av dem övervakad öppenvård.
E65;Hoidon tulee tapahtua vain Gaucherin taudin hoidon tuntevan lääkärin valvonnassa.;Behandlingen skall ges av läkare med kunskap om behandling av Gauchers sjukdom.
E31;Hoito saadaan aloittaa vain sairaaloissa tai keskuslaitoksissa tai avohoidossa psykiatrian erikoislääkärin toimesta. Valmistetta saavat määrätä ainoastaan psykiatrian erikoislääkärit sekä psykiatrisissa sairaaloissa, keskuslaitoksissa tai psykiatrian erikoissairaanhoidon avohoitoyksiköissä toimivat lääkärit.Valmistetta saa määrätä enintään sen määrän mitä tarvitaan kahden verikontrollin välillä.;Behandlingen får inledas endast på sjukhus eller centralanstalter eller i öppenvård av en specialist i psykiatri. Preparatet får förskrivas endast av specialister i psykiatri samt av läkare, som är verksamma på psykiatriska sjukhus, centralanstalter eller inom den psykiatriska specialsjukvårdens enheter för öppenvård. Preparatet får förskrivas i högst den mängd, som förbrukas mellan två blodkontroller.
E50;Valmistetta saadaan toimittaa vain neurologian tai geriatrian erikoislääkärin määräyksellä.;Preparatet får expedieras endast mot recept utfärdade av specialister i neurologi eller geriatri.
E52;Valmiste on tarkoitettu vain munuaisen siirtoihin perehtyneen erikoislääkärin määräyksellä tai tällaisen lääkärin valvomaan jatkohoitoon.;Preparatet är endast ämnat för ordination av specialister i njurtransplantationer eller för eftervård som övervakas av sådan.
E53;Valmiste on tarkoitettu käytettäväksi sellaisten hoitolaitosten valvonnassa, jotka ovat erikoistuneet potilaiden hoitoon, joilla on vasta-aineita hyytymistekijöille VIII tai IX.;Preparatet får användas under kontroll av sådana vårdanstalter som har specialiserat sig på vård av patienter med antikroppar mot koagulensfaktorerna VIII eller IX.
E3;Vain sisätautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i inre medicin och i av dem påbörjad eftervård.
E4F;Valmistetta saadaan toimittaa vain iho- ja sukupuolitautien erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Preparatet får expedieras endast mot recept utfärdade av specialister i hud- och könssjukdomar och i av dem påbörjad eftervård.
E5;Valmistetta saadaan käyttää vain spesialistigynekologin tai muun alan sairaalassa työskentelevän lääkärin valvonnan alaisena.;Preparatet får användas endast under övervakning av specialister i kvinnosjukdomar och förlossningar eller sjukhusläkare på motsvarande område.
E55;Valmistetta saa käyttää vain radioaktiivisten lääkkeiden käyttöön koulutettu hoitohenkilökunta, jolla on viranomaisen antama asianmukainen radionuklidien käyttö- ja käsittelylupa.;Preparatet skall endast användas av vårdpersonal som fått utbildning för användning av radioaktiva medel och som har behörig auktorisation från myndigheterna för användning och handhavande av radionuklider.
E56;Refludan-hoito tulee aloittaa sisätautien, erityisesti hyytymishäiriöiden hoitoon perehtyneen erikoislääkärin valvonnassa.;Refludan-behandlingen skall påbörjas under ledning av specialist i inre medicin som har erfarenhet av behandling av koagulensstörningar.
E58;Vain sairaalakäyttöön kerta-annoksena.;Endast för sjukhusbruk, som engångsdos.
E59;Hoito tulee aloittaa vain kystinoosin hoitoon erikoistuneen lääkärin valvonnassa.;Behandlingen skall initieras under övervakning av läkare med erfarenhet av behandling av cystinos.
E80;Vain elinsiirtopotilaiden immunosuppressiiviseen hoitoon perehtyneiden lääkäreiden tulisi määrätä Simulectia.;Simulect skall endast ordineras av läkare med erfarenhet av immunsuppressiv behandling vid organtransplantation.
E57;Topotekaani tulee antaa syövän kemoterapiaan erikoistuneessa yksikössä ja syöpälääkitykseen perehtyneen lääkärin valvonnassa.;Användningen av topotekan skall begränsas till avdelningar som är specialiserade på administering av cytostatika och skall endast ges under ledning av läkare som har erfarenhet av kemoterapibehandling.
E207;Hoidon saa aloittaa leukemian diagnosointiin ja hoitoon perehtynyt lääkäri.;Behandling ska inledas av en läkare med erfarenhet av att diagnosticera och behandla patienter med leukemi.
E54;Hoidon saa aloittaa HIV-infektion hoitoon perehtynyt lääkäri.;Behandling skall endast initieras av läkare med erfarenhet av att behandla HIV-infektioner.
E66;HIV-infektion hoitoon perehtyneen lääkärin tulisi aloittaa hoito.;Behandling bör inledas av läkare med erfarenhet av behandling av HIV-infektion.
E60;Valmistetta saadaan toimittaa vain huumausainereseptillä. Hoidon aloittaminen ja seuranta keskitetään Helsingin yliopistollisen keskussairaalan huumevieroitusyksikköön ja Oulun yliopistollisen sairaalan psykiatrian klinikkaan. Hoitoa voidaan sen aloittamisen jälkeen jatkaa yhteistyössä edellä mainitun yksikön kanssa sellaisessa yliopistollisen keskussairaalan päihdeklinikassa tai vastaavassa erikoissairaanhoidon toimintayksikössä, terveyskeskuksessa, päihdehuollon laitosyksikössä tai polikliinisessä yksikössä taikka vankeinhoitolaitoksen sairaalayksikössä tai polikliinisessä yksikössä, jolla hoidon aloittanut yksikkö arvioi olevan riittävät edellytykset hoidon antamiseen. Tällaisessa yksikössä tulee olla toiminnasta vastaava, erikseen nimetty lääkäri, josta tulee ilmoittaa hoidon aloittaneelle yksikölle ja Terveydenhuollon oikeusturvakeskukselle. Lääkettä saa määrätä ainoastaan toimintayksikön palveluksessa oleva toiminnasta vastaava lääkäri tai hänen tähän tehtävään osoittamansa lääkäri. Lääkehoito ja lääkkeen potilaalle luovuttaminen on rajoitettu tapahtuvaksi valvotusti toimintayksikössä, eikä lääkettä siten ole sallittua määrätä apteekista potilaalle toimitettavaksi.;Preparatet får expedieras endast mot recept för narkotika. Behandlingen påbörjas av och uppföljningen är centraliserad till narkomanvårdsenheten vid Helsingfors universitets centralsjukhus och den psykiatriska kliniken vid Uleåborgs universitets centralsjukhus. Därefter kan behandlingen vidtas av en annan instans, som anses ha tillräckliga förutsättningar för att fortsätta behandlingen och i samråd med den enhet som har påbörjat behandlingen. Kompetensen hos den vidtagande instansen evalueras av den enhet, som har påbörjat behandlingen. Den vidtagande instansen kan vara en rusklinik vid ett universitetscentralsjukhus eller motsvarande i en specialsjukvårdsenhet, hälsovårdscentral, rusvårdsanstalt eller rusvårdspoliklinik, sjukhusavdelning eller poliklinik i en fångvårdsanstalt. För behandlingsverksamheten vid en dylik instans skall en ansvarig läkare särskilt utnämnas. Den enhet som har påbörjat behandlingen samt Rättskyddscentralen för hälsovården skall informeras om förutnämnda beslut. Läkemedlet kan utfärdas endast av den läkare, som står i tjänst vid nämnda instans och som utnämnts att inneha ansvaret för behandlingsverksamheten. Den till ansvarig utnämnda läkaren kan utse en annan läkare för uppgiften. Medicinering och överlåtande av läkemedel till patient kan ske endast under övervakning i den enhet som ansvarar för behandlingen och som kontrollerar densamma. Recept för expediering via apotek får alltså inte utfärdas.
E61;Vain kliinisen hematologian erikoislääkäreiden määräyksellä.;Endast mot recept utfärdade av specialister i klinisk hematologi.
E62;Valmistetta saa antaa vain sairaaloissa sisätautien, infektiotautien, silmätautien tai lastentautien erikoislääkärin määräyksellä.;Preparatet får användas endast på sjukhus mot recept utfärdade av specialister i inre medicin, infektionssjukdomar, ögonsjukdomar eller barnsjukdomar.
E63;Hoidon saavat aloittaa lääkärit, joilla on kokemusta valmisteyhteenvedossa mainituista indikaatioista. Koska yksittäistapauksissa on todettu anafylaktisia reaktioita, ensimmäinen annos tulisi antaa lääkärin valvonnassa.;Behandling skall initieras av läkare med erfarenhet av indikationer nämnda i produktresumen. Då anafylaktiska reaktioner har iakttagits hos enstaka patienter, rekommenderas att första dosen ges under medicinsk övervakning.
E64;Valmiste on tarkoitettu käytettäväksi hoitolaitoksissa tai sellaisten lääkäreiden määräyksellä, joilla on kokemusta hemofilia-potilaiden hoidosta.;Preparatet får användas endast i vårdenheter eller mot recept utfärdade av läkare som har erfarenhet av behandling av patienter med hemofili.
E173;Hoito tulee aloittaa ihotautilääkärin toimesta.;Behandling bör inledas av en läkare som är specialist inom dermatologi.
E68;Quadramet:ia saa annostella vain lääkäri, jolla on kokemusta radiofarmaseuttisten lääkkeiden käytöstä, ja vasta sen jälkeen kun asiantunteva lääkäri on suorittanut potilaalle perusteellisen onkologisen arvioinnin.;Quadramet bör endast administreras av läkare med erfarenhet av radioaktiva läkemedel och efter fullständig onkologisk utvärdering av patienten av kvalificerad läkare.
E71;Valmistetta saavat annostella vain diagnostiseen kaikukuvaukseen perehtyneet lääkärit.;Preparatet bör endast användas av läkare med kompetens inom området hjärtdiagnostik med ultraljudsteknik.
E72;Vain onkologiaan tai hematologiaan perehtyneen lääkärin tulisi antaa hoitoa.;Behandling bör administreras av en läkare med erfarenhet i hematologi eller onkologi.
E73;Neuvoston direktiivin 90/677/ETY 4 artiklan säännösten mukaan jäsenvaltiot kieltävät tai voivat kieltää Nobilis IB 4-91 nimisen lääkkeen maahantuonnin, myynnin ja/tai käytön koko alueellaan tai osassa aluettaan. Suomi on kieltänyt maahantuonnin, myynnin ja käytön.;Enligt artikel 4 i Europarådets direktiv 90/677/EEG förbjuder eller kan medlemsstaterna förbjuda import, försäljning, tillhandahållande och/eller förbruk av Nobilis IB 4-91 inom hela eller delar av sitt territorium. Finland har förbjudit import, försäljning och förbruk.
E74;Valmistetta tulee käyttää sellaisen lääkärin valvonnassa, jolla on kuvausainediagnostisten toimenpiteiden suorittamisen edellyttämä koulutus ja perinpohjainen tuntemus. Nämä toimenpiteet on tehtävä asianmukaisesti varustetussa kuvantamisyksikössä, jossa täydellinen elvytysvälineistö on nopeasti saatavilla.;Diagnostiska undersökningar som innefattar användning av kontrastmedel skall utföras under ledning av en läkare med erforderlig utbildning och grundlig kunskap. Undersökningen skall utföras i lokaler med adekvat utrustning samt tillgång till hjärt-lungräddning.
E75;Euroopan parlamentin ja neuvoston direktiivin 2001/82/ETY artiklan 71 säännösten mukaan jäsenvaltiot kieltävät tai voivat kieltää valmisteen maahantuonnin, myynnin ja/tai käytön koko alueellaan tai osassa aluettaan. Suomi on tautivapauden perusteella kieltänyt maahantuonnin, myynnin ja käytön.;Enligt artikel 71 i Europaparlamentets och Europarådets direktiv 2001/82/EEG förbjuder eller kan medlemsstaterna förbjuda import, försäljning, tillhandahållande och/eller förbruk av preparatet inom hela eller delar av sitt territorium. Finland har på basen av sin sjukdomsfrihet förbjudit import, försäljning och bruk av preparatet.
E76;Fortovase-hoidon aloittavan lääkärin tulee olla perehtynyt HIV-infektion hoitoon.;Behandling med Fortovase bör inledas av en läkare som har erfarenhet av behandling av HIV infektion.
E77;Hoito tulisi aloittaa ja jatkohoito toteuttaa elinsiirtoihin perehtyneen erikoislääkärin toimesta.;Behandling bör ske under ledning av läkare med erfarenhet av transplantationsmedicin.
E78;Humaspectin [99mTc] käyttöön valmistamisen ja potilaalle antamisen tulee tapahtua erikoiskoulutetun henkilön toimesta näihin toimenpiteisiin tarkoitetuissa tutkimus- ja hoitotiloissa.;Preparation och administrering av Humaspect [99mTc] skall enbart utföras av kvalificerad personal på kliniska undersöknings- och vårdavdelningar speciellt avsedd för dessa åtgärder.
E79;Vain condylomata acuminatan hoitoon perehtyneen erikoislääkärin määräyksellä.;Endast mot recept utfärdat av specialist med erfarenhet av behandling av condylomata acuminata.
E82;Temgesic valmisteiden käyttö opioidiriippuvaisten henkilöiden vieroitus- tai korvaushoidossa on luvallista vain siten rajattuna kuin sosiaali- ja terveysministeriön asetuksessa N:o 33/2008 on esitetty. Valmistetta saadaan toimittaa vain lääkärin erillisellä alkuperäisellä reseptillä.;Användning av läkemedelspreparat Temgesic vid avgiftning eller ersättningsterapi gällande personer med opioidberoende är tillåten endast med de begränsningar som anges i social- och hälsovårdsministeriets förordning N:o 33/2008. Preparatet får expedieras endast mot skilt originalrecept.
