LAAKEMUOTOTUN;LAAKEMUOTONIMI;LAAKEMUOTONIMIR;LAAKEMUOTONIMIE
185;Injektioneste, liuos, säiliö annostelulaitteeseen;Injektionsvätska, lösning i kassett för dosdispenser;Solution for injection in dose-dispenser cartridge
186;nenäsumute, liuos, kerta-annospakkaus;nässpray, lösning i endosbehållare;nasal spray, solution in single-dose container
189;sumute iholle, liuos;kutan spray, lösning;cutaneous spray, solution
190;geeli suoleen;intestinal gel;intestinal gel
193;enterodepotrakeet;enterodepotgranulat;gastro-resistant, prolonged release granules
194;depotlääkevalmiste, emättimeen;vaginalinlägg;vaginal delivery system
197;bukkaalitabletti, kiinnittyvä;buckaltablett, häftande;muco-adhesive buccal tablet
199;peräpuikko ja rektaalivoide, creme;suppositorium och rektalkräm;suppository and rectal cream
200;silmägeeli;ögongel;eye gel
206;liuos iholle;kutan lösning;cutaneous solution
210;oraaliliuos;oral lösning;oral solution
211;oraalisuspensio;oral suspension;oral suspension
213;injektio/infuusiokonsentraatti, liuosta varten;koncentrat till injektions/infusionsvätska, lösning;concentrate for solution for injection/infusion
214;jauhe oraalisuspensiota varten;pulver till oral suspension;powder for oral suspension
215;rakeet oraaliliuosta varten;granulat till oral lösning;granules for oral solution
216;rakeet oraalisuspensiota varten;granulat till oral suspension;granules for oral suspension
217;jauhe ja liuotin oraaliliuosta varten;pulver och vätska till oral lösning;powder and solvent for oral solution
218;jauhe ja liuotin oraalisuspensiota varten;pulver och vätska till oral suspension;powder and solvent for oral suspension
219;sumutinliuos;lösning för nebulisator;nebuliser solution
221;sumutinsuspensio;suspension för nebulisator;nebuliser suspension
224;inhalaatiosumute, liuos;inhalationsspray, lösning;pressurised inhalation, solution
225;inhalaatiosumute, suspensio;inhalationsspray, suspension;pressurised inhalation, suspension
228;jauhe oraaliliuosta varten;pulver till oral lösning;powder for oral solution
229;bukkaalitabletti;buckaltablett;buccal tablet
232;injektio/infuusioneste, emulsio;injektion/infusionvätska, emulsion;emulsion for injection/infusion
233;tabletti, kylmäkuivattu;frystorkad tablett;oral lyophilisate
234;tabletti, päällystetty;dragerad tablett;coated tablet
235;tabletti, kalvopäällysteinen;filmdragerad tablett;film-coated tablet
240;injektiokuiva-aine ja liuotin, liuosta varten;pulver och vätska till injektionsvätska, lösning;powder and solvent for solution for injection
242;injektiokuiva-aine, liuosta varten;pulver till injektionsvätska, lösning;powder for solution for injection
243;injektiokuiva-aine, suspensiota varten;pulver till injektionsvätska, suspension;powder for suspension for injection
244;injektioneste, liuos;injektionsvätska, lösning;solution for injection
245;injektioneste, suspensio;injektionsvätska, suspension;suspension for injection
246;injektioneste, emulsio;injektionsvätska, emulsion;emulsion for injection
250;kapseli, kova;kapsel, hård;capsule, hard
251;kapseli, pehmeä;kapsel, mjuk;capsule, soft
253;infuusioneste, liuos;infusionsvätska, lösning;solution for infusion
254;infuusioneste, emulsio;infusionsvätska, emulsion;emulsion for infusion
260;inhalaatiohöyry, neste;inhalationsånga, vätska;inhalation vapour, liquid
261;infuusiokuiva-aine ja liuotin, liuosta varten;pulver och vätska till infusionsvätska, lösning;powder and solvent for solution for infusion
265;rektaalivoide, creme;rektalkräm;rectal cream
267;tipat, liuos;orala droppar, lösning;oral drops, solution
269;tipat, emulsio;orala droppar, emulsion;oral drops, emulsion
270;injektio/infuusiokuiva-aine, liuosta varten ;pulver till injektion/infusionvätska, lösning;powder for solution for injection/infusion
271;peräruiskeliuos;rektallösning;rectal solution
272;peräruiskesuspensio;rektalsuspension;rectal suspension
274;infuusiokonsentraatti, liuosta varten;koncentrat till infusionsvätska, lösning;concentrate for solution for infusion
275;siirappi;sirap;syrup
278;infuusiokuiva-aine, liuosta varten;pulver till infusionsvätska, lösning;powder for solution for infusion
280;injektio/infuusioneste, liuos;injektion/infusionsvätska, lösning;solution for injection/infusion
281;emätinpuikko, tabletti;vaginaltablett;vaginal tablet
283;emätinpuikko, kapseli, pehmeä;vaginalkapsel, mjuk;vaginal capsule, soft
313;emulsio iholle;kutan emulsion;cutaneous emulsion
315;korvatipat, liuos;örondroppar, lösning;ear drops, solution
316;korvatipat, suspensio;örondroppar, suspension;ear drops, suspension
328;depotkapseli, kova;depotkapsel, hård;prolonged-release capsule, hard
330;enterokapseli, kova;enterokapsel, hård;gastro-resistant capsule, hard
331;enterokapseli, pehmeä;enterokapsel, mjuk;gastro-resistant capsule, soft
333;dispergoituva tabletti;dispergerbar tablett;dispersible tablet
334;oraaligeeli;oral gel;oral gel
338;liuos suuonteloon;munhålelösning;oromucosal solution
341;sumute suuonteloon;munhålespray;oromucosal spray
343;nenäsumute, liuos;nässpray, lösning;nasal spray, solution
344;nenäsumute, suspensio;nässpray, suspension;nasal spray, suspension
346;injektiokonsentraatti ja liuotin, liuosta varten;koncentrat och vätska till injektionsvätska, lösning;concentrate and solvent for solution for injection
347;rakeet oraalisuspensiota varten, annospussi;granulat till oral suspension i dospåse;granules for oral suspension in sachet
348;injektio/infuusiokuiva-aine ja liuotin, liuos;pulver och vätska till injektions/infusionsvätska, lösning;powder and solvent for solution for injection/infusion
349;silmätipat, liuos;ögondroppar, lösning;eye drops, solution
350;silmätipat, suspensio;ögondroppar, suspension;eye drops, suspension
351;inhalaatiojauhe, kapseli, kova;inhalationspulver, hård kapsel;inhalation powder, hard capsule
352;inhalaatiojauhe, annosteltu;inhalationspulver, avdelad dos;inhalation powder, pre-dispensed
354;virtsatiepuikko;uretralstift;urethral stick
355;nenätipat, liuos;näsdroppar, lösning;nasal drops, solution
356;nenätipat, suspensio;näsdroppar, suspension;nasal drops, suspension
364;lääkepurukumi;medicinskt tuggummi;medicated chewing-gum
366;depotlääkevalmiste, kohtuun;intrauterint inlägg;intrauterine delivery system
367;injektio-/infuusioneste, liuos;injektions-/infusionsvätska, lösning;solution for injection/infusion
369;injektiokuiva-aine ja liuotin, liuosta varten, esitäytetty ruisku;pulver och vätska till injektionsvätska, lösning i förfylld spruta;powder and solvent for solution for injection in pre-filled syringe
370;lääkkeellinen kaasu, puristettu;medicinsk gas, komprimerad;medicinal gas, compressed
372;lääkkeellinen kaasu, nesteytetty;medicinsk gas, flytande;medicinal gas, liquefied
373;lääkkeellinen kaasu, kryogeeninen;medicinsk gas, kryogen;medicinal gas, cryogenic
379;injektio/infuusioneste, liuos, moniannospakkaus;injektions-/infusionsvätska, lösning, flerdosbehållare;solution for injection/infusion, multidose container
387;geeli suuonteloon;munhålegel;oromucosal gel
394;dentaalisuspensio;dentalsuspension;dental suspension
396;hammastahna;tandkräm;toothpaste
399;suspensio ja emulsio injektionestettä varten, emulsio;suspension och emulsion till injektionsvätska, emulsion;suspension and emulsion for emulsion for injection
401;lääkekynsilakka;medicinskt nagellack;medicated nail lacquer
403;ihopuikko;kutant stift;cutaneous stick
420;injektiokonsentraatti, liuosta varten;koncentrat till injektionsvätska, lösning;concentrate for solution for injection
421;liuotin parenteraaliseen käyttöön;spädningsvätska för parenteral användning;solvent for parenteral use
429;instillaatiosuspensio hengitysteihin;instillationsvätska för luftvägarna, suspension;endotracheopulmonary instillation, suspension
435;kalvo, suussa hajoava;munsönderfallande film;orodispersible film
436;kantaliuos radioaktiivista lääkettä varten;stamlösning till radioaktiva läkemedel;radiopharmaceutical precursor
437;radionuklidigeneraattori;radionuklidgenerator;radionuclide generator
438;valmisteyhdistelmä radioaktiivista lääkettä varten;beredningssats för radioaktiva läkemedel;kit for radiopharmaceutical preparation
444;infuusiokuiva-aine, dispersiota varten;pulver till infusionsvätska, dispersion;powder for dispersion for infusion
446;kuiva-aine välikonsentraatiksi injektio-/infuusionestettä varten, liuos;pulver till koncentrat till injektions-/infusionsvätska, lösning;powder for concentrate for solution for injection/infusion
449;jauhe ja liuotin sumutinliuosta varten;pulver och vätska till lösning för nebulisator;powder and solvent for nebuliser solution
450;jauhe ja liuotin instillaatioliuosta varten, silmän sisään;pulver och vätska för instillationvätska, intraokulär andvändning;powder and solvent for instillation, intraocular use
451;injektio/infuusiokuiva-aine ja liuotin, liuosta varten;pulver och vätska till injektions/infusionsvätska, lösning;powder and solvent for solution for injection/infusion
457;injektioneste, suspensio, sylinteriampulli;injektionsvätska, suspension i cylinderampull;suspension for injection in cartridge
459;konsentraatti ja liuotin välikonsentraatiksi infuusionestettä varten, liuos;koncentrat och vätska till koncentrat till infusionsvätska, lösning;concentrate and solvent for concentrate for solution for infusion
462;injektioneste, liuos, esitäytetty kynä;injektionsvätska, lösning i förfylld injektionspenna;solution for injection in pre-filled pen
463;tabletti ja liuotin peräruiskesuspensiota varten;tablett och vätska till rektalsuspension;tablet and solvent for rectal suspension
464;infuusiokuiva-aine konsentraattiliuosta varten;koncentrat till infusionsvätska, lösning;powder for concentrate for solution for infusion
465;injektiokuiva-aine ja liuotin, suspensiota varten;pulver och vätska till injektionsvätska, suspension;powder and solvent for suspension for injection
466;infuusioneste, liuos ja oraaliliuos;infusionsvätska, lösning, och oral lösning;solution for infusion and oral solution
467;hemodialyysi- / hemofiltraationeste;lösning för hemodialys / hemofiltration;solution for haemodialysis / haemofiltration
468;implantaattisuspensio;suspension för implantation;implantation suspension
469;oraaliliuos, annospussi;oral lösning i dospåse;oral solution in sachet
471;oraalisuspensio, annospussi;oral suspension i dospåse;oral suspension in sachet
472;injektioneste, depotsuspensio, esitäytetty kynä;injektionsvätska, depotsuspension i förfylld injektionspenna;prolonged-release suspension for injection in pre-filled pen
473;implantaatti silmän lasiaiseen, asetin;intravitrealt implantat i applikator;intravitreal implant in applicator
474;injektioneste, liuos/infuusiokonsentraatti, liuosta varten;injektionsvätska, lösning /koncentrat till infusionvätska, lösning;solution for injection/concentrate for solution for infusion
475;injektioneste, dispersio;injektionsvätska, dispersion;dispersion for injection
478;jauhe suuonteloon, pussi;munhålepulver i portionspåse;oromucosal powder in pouch
479;rakeet, päällystetty;dragerat granulat;coated granules
480;silmätipat, suspensio, kerta-annospakkaus;ögondroppar, suspension i endosbehållare;eye drops, suspension in single-dose container
481;kuiva-aine välikonsentraatiksi infuusionestettä varten, liuos;pulver till koncentrat till infusionsvätska, lösning;powder for concentrate for solution for infusion
486;kuiva-aine ja liuotin välikonsentraatiksi infuusionestettä varten, liuos;pulver och vätska till koncentrat till infusionsvätska, lösning;powder and solvent for concentrate for solution for infusion
487;emulsiovoide + emätinpuikko, kapseli pehmeä;kräm + vaginalkapsel, mjuk;cream + vaginal capsule, soft
488;injektio-/infuusioneste, liuos, esitäytetty ruisku;injektions-/infusionsvätska, lösning i förfylld spruta;solution for injection/infusion in pre-filled syringe
491;infuusioneste, liuos, esitäytetty ruisku;infusionsvätska, lösning i förfylld spruta;solution for infusion in pre-filled syringe
494;jauhe ja geeli geeliä varten;pulver och gel till gel;powder and gel for gel
495;injektioneste, depotsuspensio;injektionsvätska, depotsuspension;prolonged-release suspension for injection
499;injektiokuiva-aine ja liuotin, suspensiota varten, esitäytetty ruisku;pulver och vätska till injektionsvätska, suspension i förfylld spruta;powder and solvent for suspension for injection in pre-filled syringe
503;kudosvastine, elävä;levande vävnadsersättning;living tissue equivalent
505;kudosliimamatriksi;matris till vävnadslim;sealant matrix
506;kuiva-aine, dispersio ja liuotin välikonsentraatiksi infuusion. var., disp.;pulver, dispersion och vätska till koncentrat till infusionsv., dispersion;powder, dispersion and solvent for concentrate for dispersion for infusion
507;injektio-/infuusioneste, emulsio, esitäytetty ruisku;injektions-/infusionsvätska, emulsion i förfylld spruta;emulsion for injection/infusion in pre-filled syringe
508;infuusioneste, dispersio;infusionsvätska, dispersion;dispersion for infusion
509;jauhe ja liuotin liuosta varten, virtsarakkoon;pulver och vätska till intravesikal lösning;powder and solvent for intravesical solution
510;inhalaationeste, liuos;inhalationsvätska, lösning;inhalation solution
511;korvatipat, liuos, kerta-annospakkaus;örondroppar, lösning i endosbehållare;ear drops, solution in single-dose container
512;transdermaaligeeli;transdermal gel;transdermal gel
513;kuiva-aine välikonsentraatiksi infuusionestettä varten, dispersio;pulver till koncentrat till infusionsvätska, dispersion;powder for concentrate for dispersion for infusion
514;konsentraatti oraaliliuosta varten;koncentrat till oral lösning;concentrate for oral solution
521;silmätipat, emulsio;ögondroppar, emulsion;eye drops, emulsion
522;inhalaatiohöyry, kyllästetty patruuna;inhalationsånga, impregnerad plugg;inhalation vapour, impregnated plug
526;injektiokuiva-aine ja liuotin, depotsuspensiota varten, esitäytetty kynä;pulver och vätska till injektionsvätska, depotsuspension i förfylld injekti;powder and solvent for prolonged-release suspension for injection in pre-fi
527;puuteri;puder;cutaneous powder
529;kuiva-aine välikonsentraatiksi ja liuos infuusionestettä varten, liuos;pulver till koncentrat och lösning till infusionsvätska, lösning;powder for concentrate and solution for solution for infusion
530;rakeet, annospussi;granulat i dospåse;granules in sachet
533;laastari iholle;kutant plåster;cutaneous patch
534;konsentraatti huuhtelunestettä varten, silmän sisään;koncentrat till spolvätska, lösning för intraokulär användning;concentrate for solution for intraocular irrigation
535;tabletti, suussa hajoava;munsönderfallande tablett;orodispersible tablet
536;dispergoituvat tabletit annostelulaitteeseen;dispergerbara tabletter för dosdispenser;dispersible tablets for dose dispenser
539;jauhe ja liuotin suspensiota varten, virtsarakkoon;pulver och vätska till intravesikal suspension;powder and solvent for intravesical suspension
541;säädellysti vapauttava tabletti;tablett med modifierad frisättning;modified-release tablet
543;säädellysti vapauttava kapseli, kova;kapsel med modifierad frisättning, hård;modified-release capsule, hard
545;rakeet, avattavat kapselit;granulat i kapslar avsedda att öppnas;granules in capsules for opening
546;transdermaalisumute, liuos;transdermal spray, lösning;transdermal spray, solution
547;emätinemulsiovoide;vaginalkräm;vaginal cream
550;emulsiovoide + emätinpuikko, tabletti;kräm + vaginaltablett;cream + vaginal tablet
553;depotinjektioneste, liuos;injektionsvätska, depotlösning;prolonged-release solution for injection
554;infuusiokonsentraatti, emulsiota varten;koncentrat till infusionsvätska, emulsion;concentrate for emulsion for infusion
555;injektio/infuusiokuiva-aine liuosta/suspensiota varten;pulver till injektions/infusionsvätska, lösning/suspension;powder for solution/suspension for injection/infusion
557;implantaatti, esitäytetty ruisku;implantat i förfylld spruta;implant in pre-filled syringe
562;purukapseli, pehmeä;tuggkapsel, mjuk;chewable capsule, soft
564;sumute suuonteloon, liuos;munhålespray, lösning;oromucosal spray, solution
565;purutabletti/dispergoituva tabletti;tuggtablett/dispergerbar tablett;chewable/dispersible tablet
567;injektioneste, suspensio, moniannospakkaus;injektionsvätska, suspension i flerdosbehållare;suspension for injection in multidose container
568;injektiokuiva-aine ja liuotin, suspensiota varten, moniannospakkaus;pulver och vätska till injektionsvätska, suspension i flerdosbehållare;powder and solvent for suspension for injection in multidose container
570;nenäjauhe, kerta-annospakkaus;näspulver i endosbehållare;nasal powder in single-dose container
574;porejauhe ja jauhe oraalisuspensiota varten;bruspulver och pulver till oral suspension;effervescent powder and powder for oral suspension
576;jauhe suspensiota varten, virtsarakkoon;pulver till intravesikal suspension;powder for intravesical suspension
577;kalvo kielen alle;sublingual film;sublingual film
585;liuokset kudosliimaa varten;lösningar till vävnadslim;solutions for sealant
605;silmägeeli, kerta-annospakkaus;ögongel i endosbehållare;eye gel in single-dose container
626;Silmätipat, emulsio, kerta-annospakkaus;Ögondroppar, emulsion i endosbehållare;Eye drops, emulsion in single-dose container
630;Injektiokuiva-aine ja liuotin liuosta varten, esitäytetty ruisku;Pulver och vätska till injektionsvätska, lösning i förfylld spruta;Powder and solvent for solution for injection in pre-filled syringe
634;Porejauhe ja suspensio oraalisuspensiota varten;Bruspulver och suspension till oral suspension;Effervescent powder and suspension for oral suspension
651;Enterojauhe ja liuotin, oraalisuspensiota varten;Enteropulver och vätska till oral suspension;Gastro-resistant powder and solvent for oral suspension
655;silmätipat, liuos, kerta-annospakkaus;ögondroppar, lösning i endosbehållare;eye drops, solution in single-dose container
656;infuusiokuiva-aine ja liuotin, infuusiokonsentraattia varten;pulver och vätska till koncentrat till infusionsvätska;powder and solvent for concentrate for infusion
677;kuiva-aine inhalaatiojauhetta varten, valmisteyhdistelmä radioaktiivista lä;pulver till inhalationspulver, beredningssats för radioaktiva läkemedel;solid for inhalation powder, radiopharmaceutical kit
678;Injektioneste, depotsuspensio, esitäytetty ruisku;Injektionsvätska, depotsuspension i förfylld spruta;Prolonged-release suspension for injection in pre-filled syringe
698;injektiokuiva-aine ja suspensio, suspensiota varten;pulver och suspension till injektionsvätska, suspension;powder and suspension for suspension for injection
708;jauhe oraalisuspensiota/peräruiskesuspensiota varten;pulver till oral/rektal suspension;powder for oral/rectal suspension
739;injektioneste, liuos, kerta-annosruisku;injektionsvätska, lösning i endosspruta;single-dose solution injection
750;pussi suuonteloon;munhålepåse;oromucosal pouch
757;kylmäkuivattu tabletti kielen alle;frystorkad sublingual tablett;sublingual lyophilisate
758;Injektioneste, dispersio, esitäytetty ruisku;Injektionsvätska, dispersion i förfylld spruta;Dispersion for injection in pre-filled syringe
780;injektiokonsentraatti, dispersiota varten;koncentrat till injektionsvätska, dispersion;concentrate for dispersion for injection
781;depotinjektioneste, dispersio;injektionsvätska, depotdispersion;prolonged-release dispersion for injection
782;depotliuos haavaan;depotsårlösning;prolonged-release wound solution
783;sumutindispersio;dispersion för nebulisator;nebuliser dispersion
784;korva-/silmävoide;öron-/ögonsalva;ear/eye ointment
785;korva-/silmätipat, suspensio;öron-/ögondroppar, suspension;ear/eye drops, suspension
789;Injektiokuiva-aine ja liuotin, liuosta varten, sylinteriampulli;Pulver och vätska till injektionsvätska, lösning i cylinderampull;Powder and solvent for solution for injection in cartridge
790;Jauhe, annospussi;Oralt pulver i dospåse;Oral powder in sachet
799;infuusiokonsentraatti ja liuotin, liuosta varten;koncentrat och vätska till infusionsvätska, lösning;concentrate and solvent for solution for infusion
809;injektiokuiva-aine ja liuotin, dispersiota varten;pulver och vätska till injektionsvätska, dispersion;powder and solvent for dispersion for injection
819;enterorakeet oraalisuspensiota varten, annospussi;enterogranulat till oral suspension i dospåse;gastro-resistant granules for oral suspension in sachet
829;peräpuikko ja rektaalivoide;suppositorium och rektalsalva;suppository and rectal ointment
839;oraalineste;oral vätska;oral liquid
853;geeli kohtuun;intrauterin gel;intrauterine gel
855;Jauhe, kerta-annospakkaus;Oralt pulver i endosbehållare;Oral powder in single-dose container
869;injektioneste, suspensio, esitäytetty ruisku;injektionsvätska, suspension i förfylld spruta;suspension for injection in pre-filled syringe
889;injektioneste, liuos, sylinteriampulli;injektionsvätska, lösning i cylinderampull;solution for injection in cartridge
890;tabletti, kalvopäällysteinen + tabletti;filmdragerad tablett + tablett;film-coated tablet + tablet
899;lääkelaastari;medicinerad plåster;medicated plaster
929;paikallisantiseptiliuos;lokalantiseptikumslösning;antiseptic solution for local use
935;Transdermaaligeeli, annospussi;Transdermal gel i dospåse;Transdermal gel in sachet
936;Kyllästetty lääketuppo iholle;Impregnerad kutan svabb;Impregnated cutaneous swab
937;injektio-/infuusiokuiva-aine liuosta varten;pulver till injektions-/infusionsvätska, lösning;powder for solution for injection/infusion
940;jauhe, liuotin ja matriksi implantaattimatriksia varten;pulver, vätska och matrix till matrix för implantation;powder, solvent and matrix for implantation matrix
941;Rakeet, päällystetty, annospussi;Dragerat granulat i dospåse;Coated granules in sachet
959;valmisteyhdistelmä radioaktiivista infuusionestettä varten;beredningssats för radioaktiva läkemedel för infusion;kit for radiopharmaceutical preparation for infusion
969;enterotabletti ja peräruiskesuspensio;enterotablett och rektal suspension;gastro-resistant tablet and rectal suspension
993;injektiokuiva-aine ja liuotin, depotsuspensiota varten;pulver och vätska till injektionsvätska, depotsuspension;powder and solvent for prolonged-release suspension for injection
994;oraaliliuos, kerta-annosampulli;oral lösning i endosampull;oral solution in single-dose ampoule
995;kaasu ja liuotin injektio-/infuusionestettä varten, dispersio;gas och vätska till injektions-/infusionsvätska, dispersion;gas and solvent for dispersion for injection/infusion
997;liuos ihopistotestiin;lösning för pricktest;solution for skin-prick test
999;oraaliliuos, kerta-annospakkaus;oral lösning i endosbehållare;oral solution in single-dose container
